country,code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Eswatini,748,   273,   279,   285,   291,   297,   303,   309,   316,   323,   330,   337,   343,   350,   357,   365,   374,   384,   395,   407,   419,   431,   444,   457,   471,   485,   500,   516,   532,   550,   568,   588,   608,   630,   652,   675,   699,   724,   749,   774,   799,   822,   845,   867,   888,   908,   927,   946,   963,   980,   994,  1 005,  1 014,  1 019,  1 023,  1 026,  1 031,  1 036,  1 043,  1 050,  1 057,  1 065,  1 072,  1 079,  1 087,  1 095,  1 104,  1 114,  1 125,  1 136,  1 148,  1 160
Lesotho,426,   705,   717,   729,   741,   754,   767,   780,   794,   808,   822,   837,   853,   869,   886,   904,   922,   942,   962,   984,  1 006,  1 029,  1 053,  1 077,  1 103,  1 131,  1 161,  1 194,  1 229,  1 265,  1 303,  1 340,  1 378,  1 415,  1 453,  1 490,  1 526,  1 562,  1 596,  1 631,  1 667,  1 704,  1 743,  1 782,  1 822,  1 861,  1 899,  1 934,  1 968,  1 998,  2 020,  2 033,  2 036,  2 030,  2 018,  2 006,  1 996,  1 990,  1 987,  1 987,  1 990,  1 996,  2 004,  2 015,  2 029,  2 043,  2 059,  2 075,  2 092,  2 108,  2 125,  2 142
Namibia,516,   514,   524,   534,   545,   556,   568,   580,   593,   606,   620,   634,   649,   665,   682,   699,   717,   735,   754,   773,   795,   817,   842,   869,   896,   923,   948,   971,   993,  1 014,  1 035,  1 058,  1 081,  1 105,  1 132,  1 162,  1 198,  1 240,  1 287,  1 337,  1 386,  1 433,  1 476,  1 517,  1 555,  1 592,  1 628,  1 663,  1 698,  1 732,  1 764,  1 795,  1 824,  1 852,  1 879,  1 908,  1 938,  1 971,  2 007,  2 043,  2 081,  2 119,  2 157,  2 195,  2 234,  2 273,  2 315,  2 358,  2 403,  2 448,  2 495,  2 541
South Africa,710,  13 628,  13 922,  14 226,  14 542,  14 868,  15 207,  15 557,  15 921,  16 299,  16 691,  17 100,  17 525,  17 966,  18 423,  18 896,  19 385,  19 888,  20 407,  20 942,  21 496,  22 070,  22 665,  23 282,  23 913,  24 553,  25 195,  25 837,  26 481,  27 139,  27 827,  28 557,  29 333,  30 150,  30 994,  31 842,  32 679,  33 496,  34 298,  35 101,  35 930,  36 801,  37 719,  38 673,  39 634,  40 564,  41 436,  42 241,  42 987,  43 682,  44 339,  44 968,  45 571,  46 151,  46 719,  47 292,  47 881,  48 489,  49 120,  49 779,  50 477,  51 217,  52 004,  52 833,  53 687,  54 544,  55 386,  56 208,  57 010,  57 793,  58 558,  59 309
Benin,204,  2 255,  2 258,  2 265,  2 274,  2 287,  2 304,  2 323,  2 346,  2 371,  2 400,  2 432,  2 466,  2 503,  2 543,  2 586,  2 632,  2 682,  2 735,  2 792,  2 851,  2 912,  2 977,  3 044,  3 114,  3 187,  3 265,  3 347,  3 433,  3 524,  3 619,  3 717,  3 820,  3 928,  4 040,  4 157,  4 279,  4 405,  4 535,  4 673,  4 820,  4 978,  5 149,  5 332,  5 522,  5 714,  5 906,  6 094,  6 282,  6 470,  6 664,  6 866,  7 077,  7 295,  7 521,  7 750,  7 982,  8 217,  8 455,  8 697,  8 945,  9 199,  9 461,  9 729,  10 005,  10 287,  10 576,  10 872,  11 175,  11 485,  11 801,  12 123
Burkina Faso,854,  4 284,  4 324,  4 367,  4 413,  4 463,  4 517,  4 575,  4 636,  4 699,  4 764,  4 829,  4 895,  4 960,  5 028,  5 099,  5 175,  5 256,  5 343,  5 434,  5 528,  5 625,  5 723,  5 825,  5 930,  6 040,  6 155,  6 274,  6 399,  6 531,  6 672,  6 823,  6 985,  7 158,  7 341,  7 531,  7 728,  7 931,  8 140,  8 356,  8 580,  8 811,  9 050,  9 297,  9 552,  9 817,  10 090,  10 373,  10 666,  10 969,  11 283,  11 608,  11 945,  12 293,  12 655,  13 031,  13 422,  13 829,  14 252,  14 690,  15 141,  15 605,  16 082,  16 571,  17 073,  17 586,  18 111,  18 646,  19 193,  19 751,  20 321,  20 903
Cabo Verde,132,   178,   186,   191,   195,   196,   197,   197,   198,   198,   199,   202,   205,   210,   216,   223,   230,   239,   248,   256,   263,   269,   271,   272,   271,   270,   270,   271,   273,   276,   280,   284,   289,   294,   300,   306,   312,   317,   321,   326,   331,   338,   346,   356,   366,   376,   386,   396,   404,   413,   420,   428,   436,   443,   450,   457,   463,   469,   475,   481,   487,   493,   499,   505,   512,   518,   525,   531,   537,   544,   550,   556
C™te d'Ivoire,384,  2 630,  2 691,  2 761,  2 838,  2 920,  3 004,  3 092,  3 184,  3 282,  3 387,  3 504,  3 632,  3 771,  3 919,  4 071,  4 227,  4 384,  4 544,  4 713,  4 897,  5 102,  5 329,  5 576,  5 842,  6 121,  6 412,  6 714,  7 026,  7 350,  7 686,  8 034,  8 394,  8 765,  9 145,  9 530,  9 918,  10 307,  10 698,  11 095,  11 502,  11 925,  12 362,  12 812,  13 272,  13 735,  14 200,  14 665,  15 131,  15 589,  16 033,  16 455,  16 853,  17 232,  17 600,  17 970,  18 355,  18 755,  19 171,  19 606,  20 059,  20 533,  21 029,  21 547,  22 088,  22 648,  23 226,  23 823,  24 437,  25 069,  25 717,  26 378
Gambia,270,   305,   309,   314,   318,   324,   330,   336,   343,   350,   358,   365,   372,   380,   388,   396,   405,   415,   427,   439,   451,   464,   478,   492,   507,   523,   540,   558,   577,   597,   617,   637,   658,   678,   700,   726,   756,   791,   831,   873,   916,   956,   993,  1 027,  1 061,  1 094,  1 129,  1 164,  1 201,  1 238,  1 277,  1 318,  1 360,  1 404,  1 450,  1 497,  1 544,  1 591,  1 640,  1 689,  1 740,  1 793,  1 848,  1 905,  1 964,  2 024,  2 086,  2 149,  2 214,  2 280,  2 348,  2 417
Ghana,288,  5 036,  5 140,  5 269,  5 413,  5 569,  5 731,  5 897,  6 069,  6 247,  6 435,  6 635,  6 848,  7 072,  7 300,  7 524,  7 739,  7 941,  8 133,  8 322,  8 520,  8 735,  8 973,  9 230,  9 494,  9 749,  9 986,  10 199,  10 395,  10 590,  10 805,  11 056,  11 348,  11 677,  12 034,  12 406,  12 784,  13 165,  13 552,  13 947,  14 353,  14 773,  15 207,  15 653,  16 107,  16 562,  17 014,  17 462,  17 909,  18 357,  18 812,  19 279,  19 757,  20 246,  20 750,  21 272,  21 815,  22 379,  22 964,  23 564,  24 171,  24 780,  25 388,  25 996,  26 608,  27 224,  27 849,  28 482,  29 121,  29 767,  30 418,  31 073
